Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,0.7848694802121977,0.8419335898578445,0.7610145178077674,0.8377241492271423,535796800,0.8377241492271423
2000-01-04,0.8101278488674695,0.8279017214797553,0.7572731585843194,0.7670959234237671,512377600,0.7670959234237671
2000-01-05,0.7764498726051713,0.8274337394232996,0.7708373511832788,0.7783207297325134,778321600,0.7783207297325134
2000-01-06,0.7942247044568762,0.8007726803739019,0.7109662294387817,0.7109662294387817,767972800,0.7109662294387817
2000-01-07,0.7221919666339576,0.7558696883529715,0.7147085891378206,0.7446437478065491,460734400,0.7446437478065491
2000-01-10,0.7633531378476233,0.7652239950105904,0.7090953324736305,0.7315471172332764,505064000,0.7315471172332764
2000-01-11,0.7179827040145028,0.7437084767902888,0.6772893242589362,0.6941277384757996,441548800,0.6941277384757996
2000-01-12,0.7109660286781906,0.7147085917421134,0.6473531480586522,0.6524988412857056,976068800,0.6524988412857056
2000-01-13,0.7071067411779824,0.7390301010934067,0.6922564987624017,0.7240625023841858,1032684800,0.7240625023841858
2000-01-14,0.7483854065290979,0.7652238165098584,0.7437082896927599,0.7516593933105469,390376000,0.7516593933105469
2000-01-18,0.755869928801325,0.7932893261917578,0.7516596876658062,0.7778531908988953,459177600,0.7778531908988953
2000-01-19,0.7904819053894949,0.8138691382341592,0.7736434454637925,0.7974984049797058,597643200,0.7974984049797058
2000-01-20,0.864385603144446,0.9092883802272557,0.849418044090271,0.849418044090271,1831132800,0.849418044090271
2000-01-21,0.8550303996386953,0.8550303996386953,0.8246274606898092,0.833047091960907,495924800,0.833047091960907
2000-01-24,0.81153068140336,0.8438044262743912,0.7867403146387967,0.7951599955558777,440876800,0.7951599955558777
2000-01-25,0.7858049904601115,0.8466116715914086,0.7661602653796953,0.8400627970695496,497145600,0.8400627970695496
2000-01-26,0.8232242692239836,0.854562609408526,0.8213534622366077,0.8246273994445801,367158400,0.8246273994445801
2000-01-27,0.8143370662580429,0.8456762617070128,0.8007726388848395,0.8232244253158569,340144000,0.8232244253158569
2000-01-28,0.8096599862145474,0.8297723888741849,0.7530635435432974,0.7605469226837158,423348800,0.7605469226837158
2000-01-31,0.7558698976662456,0.7773854320227325,0.7072245581620794,0.776449978351593,701680000,0.776449978351593
2000-02-01,0.778320591082655,0.7858048176209244,0.7483854335339462,0.7502562403678894,318035200,0.7502562403678894
2000-02-02,0.7539989267958325,0.7642885659086354,0.7259337221613933,0.7394981980323792,464195200,0.7394981980323792
2000-02-03,0.7507241778271836,0.7801925162430204,0.750256451007318,0.7731760144233704,475193600,0.7731760144233704
2000-02-04,0.7778531228393474,0.8232244223537211,0.7755145387299289,0.8082568645477295,425320000,0.8082568645477295
2000-02-07,0.8082567041046165,0.8550303254535702,0.7928213725885681,0.8536271452903748,441067200,0.8536271452903748
2000-02-08,0.8531596129586723,0.8690626248591018,0.832579532622451,0.8597084879875183,408643200,0.8597084879875183
2000-02-09,0.8540948649550298,0.8765466466629734,0.8414658439095833,0.8428689241409302,299364800,0.8428689241409302
2000-02-10,0.844740875481393,0.8522243052874838,0.8232244910045393,0.849418044090271,302982400,0.849418044090271
2000-02-11,0.8503532340046517,0.8540949481866331,0.8101275833224436,0.813869297504425,212251200,0.813869297504425
2000-02-14,0.8180790111456491,0.8671920392527064,0.8129341646062911,0.8667243123054504,367539200,0.8667243123054504
2000-02-15,0.8625146784120261,0.8975954865759377,0.8620469516226876,0.8905789852142334,485744000,0.8905789852142334
2000-02-16,0.8812237503356634,0.8840308098781334,0.8391272497019754,0.8540948033332825,378246400,0.8540948033332825
2000-02-17,0.8620470222054142,0.86438555642331,0.8466117371326196,0.8597084879875183,289497600,0.8597084879875183
2000-02-18,0.857837356152366,0.8634498767744443,0.8297722050755184,0.8325793147087097,233441600,0.8325793147087097
2000-02-22,0.8241595931433903,0.8751434470474566,0.798433777884599,0.85175621509552,422296000,0.85175621509552
2000-02-23,0.8474295125822888,0.8905787724123405,0.830707559437147,0.8699977993965149,473099200,0.8699977993965149
2000-02-24,0.8779501095164909,0.8915145883641319,0.8363212691980918,0.8621636033058167,376432000,0.8621636033058167
2000-02-25,0.8592408477590534,0.8756115881370541,0.8241599832270051,0.8260307908058167,249144000,0.8260307908058167
2000-02-28,0.824159864595945,0.8606438045804652,0.8110631143062512,0.8475470542907715,328328000,0.8475470542907715
2000-02-29,0.8498856614654475,0.877482344839445,0.8424015323015268,0.8578376173973083,368961600,0.8578376173973083
2000-03-01,0.8873051797636591,0.9883366850082682,0.8868374528783012,0.9752399325370789,1077003200,0.9752399325370789
2000-03-02,0.9504502466592192,0.9574659489109318,0.9032080406730421,0.9130308032035828,311259200,0.9130308032035828
2000-03-03,0.9345464225706116,0.9596880646682613,0.8980633286382539,0.9579336643218994,323366400,0.9579336643218994
2000-03-06,0.9429657507398728,0.9663529836954264,0.9354815244429268,0.9406272172927856,210560000,0.9406272172927856
2000-03-07,0.9462398956603227,0.9537241232079602,0.906481922728728,0.9195786714553833,273011200,0.9195786714553833
2000-03-08,0.9195787786491445,0.9275307338753568,0.8873050295030903,0.9130308032035828,271230400,0.9130308032035828
2000-03-09,0.9046109491322202,0.935481508578998,0.884966229339261,0.9149014353752136,276718400,0.9149014353752136
2000-03-10,0.9106919443358047,0.957465607473911,0.9055462518612022,0.9410948753356934,248606400,0.9410948753356934
2000-03-13,0.9139660017104615,0.9467074685238958,0.8943204821328209,0.907884955406189,303956800,0.907884955406189
2000-03-14,0.9071835644562375,0.9298692636924168,0.8531595698310017,0.8550304770469666,428579200,0.8550304770469666
2000-03-15,0.8653207324612475,0.8999338055651008,0.8540947925981824,0.8699977993965149,443609600,0.8699977993965149
2000-03-16,0.8779496952617587,0.9130304927586088,0.8569009969391189,0.9097557067871094,378100800,0.9097557067871094
2000-03-17,0.8989989254080302,0.9354820251464844,0.8952563106551433,0.9354820251464844,305043200,0.9354820251464844
2000-03-20,0.9242566799783091,0.9448367578957417,0.9158369985487723,0.9205141663551331,204489600,0.9205141663551331
2000-03-21,0.917239645274929,1.0234166584306397,0.9102239476068094,1.0098522901535034,524328000,1.0098522901535034
2000-03-22,0.9937162457678576,1.0804825351991283,0.9845950214635885,1.0790785551071167,567996800,1.0790785551071167
2000-03-23,1.0627076233112909,1.125385116344103,1.0477400651129727,1.0575628280639648,562564800,1.0575628280639648
2000-03-24,1.0659811968311557,1.0772071358971798,1.0140619405825064,1.037916898727417,446913600,1.037916898727417
2000-03-27,1.0299660705633933,1.083288418474902,1.0243526501628666,1.0444658994674683,279182400,1.0444658994674683
2000-03-28,1.0271585809764703,1.0627071012662328,1.0262231277836604,1.041191577911377,202966400,1.041191577911377
2000-03-29,1.0430625909022886,1.0435302176262569,1.0015502275248815,1.0173367261886597,239836800,1.0173367261886597
2000-03-30,0.9995621041386848,1.0304334612196044,0.9387562421389075,0.9410948753356934,414400000,0.9410948753356934
2000-03-31,0.9537246103035389,1.027159446459073,0.9429663899202202,1.0164021253585815,404633600,1.0164021253585815
2000-04-03,1.014062491737711,1.0439985120514303,0.9686919833722307,0.9976917505264282,328563200,0.9976917505264282
2000-04-04,0.9925467473238362,0.9953530082093317,0.8737405427497554,0.952788770198822,660329600,0.952788770198822
2000-04-05,0.946473542225278,0.9944172744199777,0.9279981889125103,0.9757080078125,457665600,0.9757080078125
2000-04-06,0.9775790189303414,1.0065787749591224,0.9223848679850873,0.9368855953216553,259627200,0.9368855953216553
2000-04-07,0.9523207001906836,0.9869329705892775,0.9392239548026066,0.9859976172447205,242435200,0.9859976172447205
2000-04-10,0.985530504639355,0.9934824618659406,0.9336112173715404,0.9354820251464844,212262400,0.9354820251464844
2000-04-11,0.9242567500802261,0.9345463401781706,0.8835625193666796,0.8938530087471008,541822400,0.8938530087471008
2000-04-12,0.8905790833978399,0.8905790833978399,0.7848696698646624,0.8176110982894897,941136000,0.8176110982894897
2000-04-13,0.8344500791192941,0.8980629523459981,0.8119982505140269,0.85175621509552,529827200,0.85175621509552
2000-04-14,0.8180789369461876,0.8830949751239306,0.8157403523821691,0.8372567892074585,667620800,0.8372567892074585
2000-04-17,0.8194824113910425,0.9275303572696207,0.8162075756756098,0.9270626306533813,409561600,0.9270626306533813
2000-04-18,0.9242567590244946,0.9495148062705994,0.8933852905844798,0.9495148062705994,390924800,0.9495148062705994
2000-04-19,0.9443692737616431,0.9747721181009791,0.8961916103316793,0.9064821004867554,520150400,0.9064821004867554
2000-04-20,0.925659750384233,0.9336109055931394,0.8760790143726092,0.8896434903144836,722120000,0.8896434903144836
2000-04-24,0.8606440520978074,0.9018052220344543,0.8587732442502475,0.9018052220344543,443620800,0.9018052220344543
2000-04-25,0.9139660705657389,0.9635468005587181,0.9134983438549025,0.9602720141410828,391641600,0.9602720141410828
2000-04-26,0.9476428219548476,0.9579333084192672,0.8980629949793436,0.907884955406189,366912000,0.907884955406189
2000-04-27,0.8770143164417056,0.950450004201221,0.8724537564245073,0.9485782980918884,326603200,0.9485782980918884
2000-04-28,0.9513853277204906,0.9541915875382231,0.9078848532975067,0.928465723991394,249580800,0.928465723991394
2000-05-01,0.9345462335572864,0.9364179399385015,0.9120953493280275,0.9303368926048279,226195200,0.9303368926048279
2000-05-02,0.9223849951324103,0.9448367800285687,0.8793530319164603,0.8821592926979065,236432000,0.8821592926979065
2000-05-03,0.8901113445110975,0.9074175371511856,0.8353858060617031,0.861111581325531,489798400,0.861111581325531
2000-05-04,0.8615791382130044,0.8625145916976339,0.8274336871403705,0.828369140625,399515200,0.828369140625
2000-05-05,0.8293045797049974,0.858772914498297,0.828603039521578,0.8466116189956665,284076800,0.8466116189956665
2000-05-08,0.8388935547352143,0.8508210379087494,0.8232244070005854,0.8241598606109619,184900800,0.8241598606109619
2000-05-09,0.8255630630402274,0.8325795652514072,0.7848696783579843,0.7890790700912476,327140800,0.7890790700912476
2000-05-10,0.7787886353121589,0.785805138022768,0.7390306515317627,0.7432408928871155,535091200,0.7432408928871155
2000-05-11,0.758675813259609,0.7801921871399619,0.7409019518014467,0.7694339752197266,499744000,0.7694339752197266
2000-05-12,0.7932892030388576,0.8269660809204951,0.7840506248672974,0.8054504990577698,306913600,0.8054504990577698
2000-05-15,0.8087244805736592,0.8087244805736592,0.7493209814288474,0.7558698058128357,678932800,0.7558698058128357
2000-05-16,0.782179937273264,0.8162079901463088,0.76896667863486,0.7909499406814575,440451200,0.7909499406814575
2000-05-17,0.7755145874624013,0.7759823143057041,0.7511919422882551,0.7586761713027954,398092800,0.7586761713027954
2000-05-18,0.7708371050146116,0.7853369800329154,0.753063243559048,0.7539986968040466,373777600,0.7539986968040466
2000-05-19,0.7427729921392779,0.7427729921392779,0.6988047802529995,0.7034827470779419,740667200,0.7034827470779419
2000-05-22,0.7016117695128696,0.7016117695128696,0.643611415723677,0.6730788946151733,755507200,0.6730788946151733
2000-05-23,0.677289251757208,0.6988047816838783,0.6408052671307791,0.6422083973884583,517585600,0.6422083973884583
2000-05-24,0.6450145147598347,0.6716756823834218,0.6211595570687113,0.6562404036521912,678462400,0.6562404036521912
2000-05-25,0.6623217240246085,0.6934261553540296,0.6436116030976675,0.6530831456184387,406750400,0.6530831456184387
2000-05-26,0.658579213124838,0.6726114177551609,0.6379991326123948,0.6464179158210754,181148800,0.6464179158210754
2000-05-30,0.6557730028927105,0.6595147179156194,0.6118056781072669,0.6553053259849548,713059200,0.6553053259849548
2000-05-31,0.6501604327598471,0.6829019106395389,0.6272409186267159,0.6286440491676331,433507200,0.6286440491676331
2000-06-01,0.6118057103080753,0.670272920796685,0.6015152190712306,0.6669989824295044,903840000,0.6669989824295044
2000-06-02,0.7016118230642598,0.7465145848555416,0.6660632454247619,0.6927244663238525,792848000,0.6927244663238525
2000-06-05,0.6983369414575736,0.7128368177394674,0.6712080455867014,0.6833693385124207,323668800,0.6833693385124207
2000-06-06,0.6882811487247943,0.7240626871074194,0.6758859428529788,0.6950629353523254,525481600,0.6950629353523254
